WO Description,WO rem long desc,Cause object
23337-n : kpot-18215842;(+)extraction,ps7 serpentine clogged.,Flexible Tubing / Hose
"jib not working, sounds like a broken tube",replaced broken air line on jib head,Pipe / Rigid Tubing
44.1 checklist,tire stick to top and bottom shells,Mold plaquette / Plug
23337-d : kpot-29334869;(-)membrane temp,replaced worn out membrane shaft seal,Membrane
23337-d : kpot-80486421;(+)removed from auto,tj hose keeping lid hook from opening,Clevis
uniformity checklist- c29-,completed checklist,Proximity Sensor / Switch
rear l/r close hose blew off l/r,"looked like rear l/r hose caught chariot, broke off, bent pipe, and broke chariot belt",Pipe / Rigid Tubing
dim change converson,replaced orfice,Hydraulic Cylinder / Jack
23338-n : kpot-54326525;(-)membrane psi,blown membrane,Membrane
23338-n : kpot-05857970;(+)extraction,replaced 4 sol,Solenoid / Coil
23338-n : kpot-31907320;(+)membrane temp,nitro supply issue from boiler house w/o closed cbp,Leather Brake strap
23338-n : kpot-51036805;(+)membrane temp,nitro supply issue from boiler house w/o closed cbp,Leather Brake strap
23338-n : kpot-31907346;(+)membrane temp,nitro supply issue from boiler house w/o closed cbp,Leather Brake strap
23338-n : kpot-41905183;(+)membrane temp,nitro supply issue from boiler house w/o closed cbp,Leather Brake strap
23338-n : kpot-05856004;(+)membrane temp,nitro supply issue from boiler house w/o closed cbp,Leather Brake strap
23338-n : kpot-52723746;(+)membrane temp,nitro supply issue from boiler house w/o closed cbp,Leather Brake strap
23338-n : kpot-31907344;(+)membrane temp,nitro supply issue from boiler house w/o closed cbp,Leather Brake strap
23338-n : kpot-52723737;(+)membrane temp,nitro supply issue from boiler house w/o closed cbp,Leather Brake strap
23338-n : kpot-05856003;(+)membrane temp,nitro supply issue from boiler house w/o closed cbp,Leather Brake strap
23338-n : kpot-88781885;(+)membrane temp,nitro supply issue from boiler house w/o closed cbp,Leather Brake strap
23338-n : kpot-64787031;(-)membrane temp,nitro supply issue from boiler house w/o closed cbp,Leather Brake strap
23338-n : kpot-18218858;(-)membrane temp,nitro supply issue from boiler house w/o closed cbp,Leather Brake strap
23338-n : kpot-61955713;(+)membrane temp,nitro supply issue from boiler house w/o closed cbp,Leather Brake strap
23338-n : kpot-87029884;(+)membrane temp,nitro supply issue from boiler house w/o closed cbp,Leather Brake strap
23338-n : kpot-31907343;(+)membrane temp,nitro supply issue from boiler house w/o closed cbp,Leather Brake strap
23338-n : kpot-52723767;(+)membrane temp,nitro supply issue from boiler house w/o closed cbp,Leather Brake strap
23338-n : kpot-88782045;(+)membrane temp,nitro supply issue from boiler house w/o closed cbp,Leather Brake strap
23338-n : kpot-52723777;(+)membrane temp,nitro supply issue from boiler house w/o closed cbp,Leather Brake strap
23338-n : kpot-05857999;(+)membrane temp,nitro supply issue from boiler house w/o closed cbp,Leather Brake strap
23338-n : kpot-87029604;(+)loading,ls2 bracket was bent so that the prox wasn't making,Limit Switch / Sensor
23338-n : kpot-05856129;(+)loading,replaced d6 diaphragm,Diaphragm
jib flap cylinder broke,jib flap cylinder shaft broke . replaced cylinder,Limit Switch / Sensor
23338-d : kpot-64787923;(+)consecutive l1s,replaced v21e and v21s was leaking at fitting,Washer
replaced jib finger dcv,repaired leaks on jib and press,Tube
23338-d : kpot-15623710;(+)dsp duration,"v21 e was leaking by, v21s union was leaking",Directional Valve
eplace jib air line,replaced air line and repaired air leaks on press,Tube
study note on door-  precon & jib height to be lowered 10mm from consigne please.,adjusted membrane and jib height,Membrane
23338-d : kpot-80487301;(+)loading,lid hook stuck on hose,Screw
sector hoses leaking,replaced hose,Pipe / Rigid Tubing
23338-d : kpot-54303003;(+)removed from auto,lid not making 7,Screw
wont load cover,membrane needed to be stretched,Membrane
n06 membrane not going to precon,ls17 was loose,Limit Switch / Sensor
23339-n : kpot-54303058;(+)membrane temp,v22 orifice was clogged,Orifice
23339-n : kpot-52725093;(-)membrane psi,replaced left p/c hose,Flexible Tubing / Hose
44.1 checklist,whoever worked on it last left the d19 orifice out,Orifice
23339-n : kpot-58106065;(-)platen temp,tighten rtd connections,Lid
23339-n : kpot-15626114;(+)removed from auto,operator re-fired press,Terminal block
23339-d : kpot-52701094;(+)extraction,tire stuck in mold . operator restarted press,Process/CQ-Related
23339-d : kpot-31904165;(+)removed from auto,ls1 not made and would not allow lid to move . adjusted ls1,Limit Switch / Sensor
leak detect,replaced membrane shaft seal,Gasket / Seal / Packing
replace d19 bis,replaced d19 bis valve and d19 orfice gaskets,Relief Valve
d11 valve and d3 bis cross over,replaced d11 and d3 bis cross over,Hydraulic fluid
membrane drifting down in auto,replaced d20 & d20bis valves,Directional Valve
pc leaking,replaced o ring and gaasket,Gasket / Seal / Packing
23340-n : kpot-88784240;(-)platen temp,clogged purge valve orifice.,Orifice
23340-n : kpot-58106797;(+)extraction,changed ps-7,Pressure switch
23340-n : kpot-51034723;(+)membrane temp,unclogged v22 orifice,Orifice
23340-n : kpot-29339646;(+)removed from auto,ps4 super dirty - cleaned contacts,Pressure switch
23340-n : kpot-33897220;(+)extraction,ps7 serpentine and fitting clogged . cleared out serpentine and replaced ps7 . put press on reheat for operator,Steam
press pm,compleated tasks,Silencer / Muffler / Exhaust
getting 44.1 need looking at,did part of checklist . rest of checklist needs to be done with press running . put press on reheat . found nothing outstanding,Process/CQ-Related
jib wont raise,press was never called in . c09 is running . not sure if prr or ar fixed issue,Process/CQ-Related
"lid way too slow for nano- 243.2/ locking ring and press ""jumping"" @ eoc-",needed correct orifice size and replaced d1 due to spool not fully moving inside of valve,Hydraulic fluid
want load keeps timing out,fixed by prr?,Terminal block
23340-d : kpot-33897155;(+)loading,ls15 not made . adjusted ls15,Limit Switch / Sensor
23340-d : kpot-55676731;(+)extraction,ran press through cycle and put on reheat,Process/CQ-Related
lid wont lock,changed d6 dia due to leak,Relief Valve
"loading fault, jib not swinging in to load cover",lid not aligned with pan . prox flag on lid hitting all the proxes on the side . had to adjust the position of all proxes and ls9 to prevent flag from destroying proxes.,Process/CQ-Related
want load cover keeps timing out,"operator stating membrane drifting down, press loaded fine on attempt to load-monitoring for any drifting between cures",Membrane
23340-d : kpot-29280622;(+)loading,replaced airline fitting for jib open/close fingers,Fitting
23341-n : kpot-52701882;(+)extraction,tire sticking to mold bottom shell,Membrane
23341-n : kpot-18276910;(+)extraction,membrane transducer t was clogged.,Pipe / Rigid Tubing
main air line to steam tableau broken,fixed air line.,Flexible Tubing / Hose
23341-d : kpot-61960086;(+)extraction,"ps4 was making and unmaking . changed out ps4, problem was still happening . changed out cap to ps4, started press back up",Terminal fitting
press getting 44.1 and 91.1,tire sticking to mold,Fastener
jib flag broke ls20 prox,replaced ls20 prox,Limit Switch / Sensor
23341-d : kpot-88787137;(+)extraction,replaced d5 diaphragm.,Diaphragm
d15 dia leaking,replaced dia,Tube
no precon,loaded fine after a reheat.,POST / STUD
leak in hyd sol cabinet,repaired leaks in sol cabinet,Tube
23341-d : kpot-54304226;(+)membrane temp,rubber plugging up v22 orifice,Orifice
23341-d : kpot-88787309;(+)extraction,replaced ps7 and cleared serpentine . serpentine was clogged,Pressure switch
23342-n : kpot-18275003;(-)membrane psi,found o-rings leaking bad behind v4ebis sol,Solenoid / Coil
23342-n : kpot-55677419;(+)membrane temp,v22 orifice clogged,Terminal block
23342-n : kpot-15627503;(+)loading,replaced d6 diaphragm.,Diaphragm
sectors not opening,cbo orifice clogged,Orifice
lid is opening too slow,hand valve behind press partially closed,Terminal block
23342-n : kpot-40268526;(+)extraction,"ps7, line, and snub all clogged",Pressure switch
23342-n : kpot-40268546;(+)loading,adj'ed ls12,Limit Switch / Sensor
leak dect.,replaced left orange partie central hose,Flexible Tubing / Hose
23342-n : kpot-71757587;(-)moldback temp,replaced moldback purge sol verified orifice is clear.,Solenoid / Coil
jib drifting towards press in auto,checked jib assembly and jib rotation assembly and everything looks good . checked hydraulics for bleed by causing jib to want to swing in and found nothing . most likely cause is return hand valve at press is not opening or closing fully and not keeping constant pressure on jib to chariot . press still down until hand valve can be changed,Housing
79.1 checklist needed,completed . didn't see anything stand out.,Process/CQ-Related
jib struggling to swing in and out,"replaced d20, d20 bis, d17 . press was still struggling to move jib and/ or membrane while in auto . checked to see if jib cylinders were bypassing and werent . checked to see if locking ring cylinders were bypassing and the rear locking ring cylinder was . removed outputs from locking ring, and ran press in cycle no fluids and jib and membrane worked fine . turned press over to party central",Hydraulic Cylinder / Jack
23342-d : kpot-29283328;(+)extraction,clogged ps7,Pressure switch
please look at the membrane orifices,not sure what meant to do with this work order . asked around and found out were doing mold change on both presses.,Process/CQ-Related
please look at membrane orifices,not sure what meant to do with this work order . asked around and found out were doing mold change on both presses.,Process/CQ-Related
jib fingers need adjustment and wont rotate in press,"adjusted fingers, ls9 wasnt being made, adjusted",Finger
membrane wont go to precon height,"encoder got folded like spaghetti . replaced encoder, and magnet bracket.",Magnet
23343-n : kpot-18274668;(+)loading,air leak on d15,Flexible Tubing / Hose
45.2 checklist needed,completed checklist,Lid
cq 79.1,completed checklist,Limit Switch / Sensor
leak dect.,closed cross over pipe hand valve,Shut Off Valve
23343-d : kpot-33899425;(-)moldback temp,moldback temperature dipped down . replaced rtd and cable . still doing the thing . replaced rtd card . good.,Sensor
membrane wont go to precon height,threaded rod fell off,THREADED ROD
23343-d : kpot-61961688;(+)removed from auto,"jib fingers didnt open . recalibrated membrane height, check jib pre con height",Finger
23343-d : kpot-54304793;(+)extraction,tire got stuck to the mold . operator took care of it.,Process/CQ-Related
23343-d : kpot-33899656;(+)extraction,clogged ps7,Pressure switch
23343-d : kpot-61961707;(+)loading,"look like the cover was loaded in slightly sideways . checked the cover fitment, checked jib was swinging in smoohtly, adjusted ls 17 and 18 because it looked like jib was dropping a little early while loading . cleaned psc1",Limit Switch / Sensor
23344-n : kpot-33899829;(+)extraction,replaced ps7 and blew serpentine out . serpentine clogged.,Pressure switch
23344-n : kpot-87081022;(+)extraction,replaced ps7 and cleared serpentine . serpentine clogged.,Pressure switch
23344-n : kpot-51040922;(-)membrane psi,told operator change membrane.,Membrane
24063-n : kpot-80564508;(+)loading,lid hook pin was broken,Pin / Clip
24063-n : kpot-61977871;(+)loading,output bad . replaced card.,PLC / PLC Cards
24063-n : kpot-10790887;(+)membrane temp,v22 air line,Screw
wont load,replaced a membrane transducer,Pressure Gauge / Gauge
lid is too slow for nano- tires getting stuck to top lid,replaced orifice,Orifice
24063-d : kpot-55713461;(+)removed from auto,left lid hook pin broken,Pin / Clip
34.1 checklist,see checklist,Membrane
tires still sticking to top of lid-,sectors raising too fast only sometimes . replaced d19bis.,Directional Valve
24063-d : kpot-38208893;(+)removed from auto,hole in membrane,Membrane
front locking ring cylinder is leaking,plug was loose,Fitting
cover will not load,"membrane was drifting down, replaced d20 & d20bis",Pipe / Rigid Tubing
24064-n : kpot-88884462;(-)membrane psi,new membrane blew,Terminal block
jib air leak/ wont ope or close fingers,jib finger airline broke,Pipe / Rigid Tubing
cover wont load,"ls20 prox hit the flag, replaced ls20 and adjusted 20 and 19",Limit Switch / Sensor
24064-d : kpot-41895450;(-)membrane psi,slow fill,Pressure Gauge / Gauge
24064-d : kpot-76885780;(+)extraction,replaced ps7,Pressure switch
24064-d : kpot-10791665;(-)membrane psi,air line for v6 had a hole melted in it . replaced . also membrane blew at the time.,Flexible Tubing / Hose
24064-d : kpot-54373163;(+)membrane temp,v22 orifice was clogged,Orifice
24064-d : kpot-88886332;(+)extraction,replaced ps7,Pressure Gauge / Gauge
24065-n : kpot-88886433;(+)extraction,"ps7 sometimes not making . replaced ps7 and saw fitting was really clogged up . cleaned out serpentine . replaced v21 sol that was leaking by bad . still getting intermittent air to ps7, so replaced shuttle valve",Terminal block
cover want stay on jib,"locking pin not engaged, reset fitment",Rod / Bar
24065-n : kpot-41895777;(+)extraction,ps7 failed,Pressure switch
membrane temp bad,bad o:11 card,Input / Output Card
bad lid cylinder leak going in to press,lid fitting loose,Pipe / Rigid Tubing
cover will not load,adjusted ls20,Limit Switch / Sensor
lid raising fault,screwed back in loose ls7 head and verified good operation,Proximity Sensor / Switch
24065-n : kpot-80581814;(+)membrane temp,clogged v22 orifice,Orifice
press won't open up,replaced ps7 and had to use 100 bar fluid to clean out serpentine,Pressure switch
24065-n : kpot-87110760;(+)extraction,ps1 was bad,Terminal block
lid cylinder leak,replaced lid hose,Pipe / Rigid Tubing
membrane won't stay at precon,replaced clogged ps7 and cleaned out serpentine,Pressure switch
24065-n : kpot-87109094;(+)extraction,replaced bad d5 sol,Fitting
24065-d : kpot-87110987;(+)extraction,press was on reheat when worker got to it . assumed someone had fixed it already and moved on.,POST / STUD
keeps timing out,re-initialized . press loaded up fine,Timer Relay
24065-d : kpot-41896014;(-)membrane temp,slow fill,THREADED ROD
24065-d : kpot-87109276;(+)extraction,clogged ps7 . electrical switch was making but the pneumatic switch takes a while to open . replaced it and cleaned the serpentine.,Pressure switch
24065-d : kpot-80582658;(+)membrane temp,clogged v22 . broke while worker was trying to clear the clog so worker replaced the orifice gasket and turned over to the operator.,Orifice
24065-d : kpot-38271596;(-)platen temp,output failed to energize.,Terminal block
24065-d : kpot-76883396;(-)moldback temp,"moldback orifice clogged . twice . cleared the first clogg, put it together and it seemed to clog again, so opened it up, ran it in auto mode for a few minutes to clear anything . put it together and it still wasn't draining . got a valve . took it apart to replace the valve and found a 3mm rubber piece behind the orifice . removed the rubber piece and replaced the valve and it's been running since.",Orifice
24065-d : kpot-36130679;(+)extraction,ls1 was loose and not making.,Limit Switch / Sensor
24065-d : kpot-29457646;(+)extraction,ps7 failed . fitting was almost all the way clogged . worker blew out the serpentine and replaced the pressure switch,Pressure switch
p09 not going to precon,press running,Process/CQ-Related
24065-d : kpot-88887492;(+)membrane temp,membrane . operator changed,Membrane
jib not picking up tire,had operator spray mold . operator has not called in for double pickup/tires not being picked up again,Process/CQ-Related
24066-n : kpot-88900087;(-)membrane psi,ran bypass . found v9 solenoid buzzing . v9 was not picking up . replaced v9 sol and valve worked like it should . put membrane back into press and put on reheat,Solenoid / Coil
24066-n : kpot-54374035;(+)extraction,ps7 and serpentine clogged . cleared out serpentine and replaced ps7,Steam
24066-n : kpot-52772499;(+)extraction,ps7 failed,Pressure switch
hole in locking ring pipe behind press,hole in pipe . got the welder to fix it then put it back on.,Pipe / Rigid Tubing
24066-d : kpot-51049667;(+)extraction,"press struggled to open up . tire stuck on top mold, possible missload . cycled no fluids multiple times, and checked to makes sure ls12 and ls1 were working properly.",Limit Switch / Sensor
hole in pipe,"elbow pipe coming off the 20 valve at the top of the tableau above d20 had a nice fan coming from the weld before the fitting . removed the pipe, had the welders fix it when could peel away from j line then put it back on.",Pipe / Rigid Tubing
cord not connected properly,"processor was hanging loose . tried to seat it back in place, but it had already lost the both locking tabs were missing on it . decided to replace it.",Thermostat
gasket behind press leaking,"shut down, replaced the gasket, started back up.",Gasket / Seal / Packing
pipe at end of tableau has cracked flange at the ceiling,"pipe from d7 going to ceiling leaking at the flange at the ceiling . removed pipe, got welder to repair, then took the other two pipes loose so worker can put the first pipe back in then put the other two pipes back . and started the press back up.",Pipe / Rigid Tubing
24066-d : kpot-80583573;(+)extraction,lid would drop while trying to raise in high speed . d1 valve was actuated while trying to raise . replaced shuttle valve and d1 sol.,Flow Control Valve
sectors won't lower,replaced diaphragm on d19,Diaphragm
24066-d : kpot-10793271;(-)membrane psi,slow fill,Membrane
24066-d : kpot-63725201;(-)moldback temp,v6 had a hole in it which looked conspicuously like it once made contact with a ps7 line . put a union in it and restarted . forced a reheat and watched . seemed to function as it's supposed to.,Flexible Tubing / Hose
24066-d : kpot-73369289;(+)removed from auto,left lid hook pin broke . replaced it and got both halves out.,Pin / Clip
24066-d : kpot-68560832;(+)loading,transducers not reading membrane pressure correctly . operator left press in manual while loading and did not initialize press . cleared out transducers and line . put press on reheat,Steam
24067-n : kpot-64685607;(+)extraction,d3 diaphragm had blown,Diaphragm
24067-n : kpot-15703164;(-)membrane temp,hole in top of membrane . had operator replace membrane,Membrane
24067-n : kpot-73369629;(+)extraction,ps7 not allowing air through . replaced ps7,Pressure switch
24067-n : kpot-36088441;(+)extraction,tire stuck to the lid,Mold
24067-d : kpot-69679380;(+)removed from auto,operator put post in manual during load cycle,POST / STUD
24067-d : kpot-15703914;(+)loading,ls-1 broken- replaced,Limit Switch / Sensor
24067-d : kpot-69679439;(+)removed from auto,bad load - membrane blew up,Membrane
24067-d : kpot-76882914;(+)extraction,replaced ps7,Pressure switch
24068-n : kpot-68561926;(+)extraction,sticking to mold,Terminal block
24068-n : kpot-69679649;(-)membrane psi,"blown membrane due to bad load . adjusted precon height, adjusted cover fitment . jib height good . ls23 good",Membrane
24068-n : kpot-87106426;(+)loading,d4 diaphragm blown out,Tube
press loading fault,loaded press,Push Button
24068-n : kpot-69679672;(+)removed from auto,"operator said lid did not lower . press was in step 294 to lower, believed press was in a hydro lock . could not duplicate issue in 10+ dry cycles . replaced d4 and d2 solenoids",Solenoid / Coil
24068-n : kpot-69679749;(+)loading,"missed ls1 . adjusted ls1 down as much as possible . locking ring has vertical play . in auto, when the lid begins to lower, the locking ring relaxes and sags down . this may cause ls1 to miss intermittently . believe this has been an issue in the past, not sure the press but it was on u-line.",Clevis
24068-d : kpot-40316535;(+)membrane temp,transducer failed replaced,Pressure Gauge / Gauge
24068-d : kpot-10794495;(+)extraction,replaced ps7,Pressure switch
24068-d : kpot-52771507;(-)membrane psi,replaced membrane,Membrane
